"Seed","Imputation","Sensitivity_Observed","Specificity_Observed","Sensitivity_Forecast","Specificity_Forecast","Sensitivity_Overall","Specificity_Overall"
1,1,0.594594594594595,0.864176570458404,0.849162011173184,0.775510204081633,0.788912579957356,0.828746177370031
2,1,0.576354679802956,0.991951710261569,0.850107066381156,0.989399293286219,0.767164179104478,0.991025641025641
3,1,0.504424778761062,0.982964224872232,0.859237536656892,0.963325183374083,0.770925110132159,0.974899598393574
4,1,0.543624161073825,0.978221415607985,0.842105263157895,0.97172236503856,0.754901960784314,0.975531914893617
5,1,0.568862275449102,0.9906191369606,0.86,0.986666666666667,0.781199351701783,0.989195678271308
6,1,0.638297872340426,0.983498349834984,0.82,0.986,0.770348837209302,0.984629294755877
7,1,0.573863636363636,0.994274809160305,0.913513513513514,0.963157894736842,0.804029304029304,0.981194690265487
8,1,0.635838150289017,0.984819734345351,0.862595419847328,0.988795518207283,0.793286219081272,0.986425339366516
9,1,0.581081081081081,0.994565217391304,0.845238095238095,0.997584541062802,0.764462809917355,0.995859213250518
10,1,0.557692307692308,0.983455882352941,0.84593837535014,0.997455470737914,0.758284600389864,0.989327641408751
11,1,0.572289156626506,0.99063670411985,0.860975609756098,0.985294117647059,0.777777777777778,0.988558352402746
12,1,0.625641025641026,0.984158415841584,0.879487179487179,0.988888888888889,0.794871794871795,0.986127167630058
13,1,0.589108910891089,0.993975903614458,0.918256130790191,0.992167101827676,0.801405975395431,0.993189557321226
14,1,0.544776119402985,0.982332155477032,0.875,0.985221674876847,0.782426778242678,0.983539094650206
15,1,0.612612612612613,0.99660441426146,0.743975903614458,0.988038277511962,0.711060948081264,0.99304865938431
16,1,0.657142857142857,0.989285714285714,0.83433734939759,0.995215311004785,0.781779661016949,0.991820040899795
17,1,0.576,0.986086956521739,0.769820971867008,0.994428969359331,0.722868217054264,0.989293361884368
18,1,0.446808510638298,0.992844364937388,0.862433862433862,0.983870967741935,0.749518304431599,0.989258861439313
19,1,0.542483660130719,0.989031078610603,0.862162162162162,0.992105263157895,0.768642447418738,0.990291262135922
20,1,0.542553191489362,0.998349834983498,0.788235294117647,0.98989898989899,0.722063037249284,0.994550408719346
21,1,0.545023696682464,0.979550102249489,0.911363636363636,0.983870967741935,0.792626728110599,0.981226533166458
22,1,0.515789473684211,0.996694214876033,0.745152354570637,0.987146529562982,0.697368421052632,0.992957746478873
23,1,0.639344262295082,0.980968858131488,0.84,0.977777777777778,0.781990521327014,0.979571984435798
24,1,0.642384105960265,0.989071038251366,0.854237288135593,0.984615384615385,0.782511210762332,0.987051792828685
25,1,0.517730496453901,0.991055456171735,0.923547400611621,0.978723404255319,0.801282051282051,0.985743380855397
26,1,0.558139534883721,0.992994746059545,0.798387096774194,0.994708994708995,0.736526946107784,0.993677555321391
27,1,0.557823129251701,0.990958408679928,0.851744186046512,0.970443349753695,0.763747454175153,0.982273201251303
28,1,0.9875,0.0467741935483871,1,0,0.996913580246914,0.0257548845470693
29,1,0.611464968152866,0.977900552486188,0.845549738219895,0.959239130434783,0.777365491651206,0.970362239297475
30,1,0.514705882352941,0.958860759493671,0.838056680161943,0.94831013916501,0.768253968253968,0.954185022026432
31,1,0.618055555555556,0.983812949640288,0.85595567867036,0.982005141388175,0.788118811881188,0.983068783068783
32,1,0.507246376811594,0.994661921708185,0.858433734939759,0.985645933014354,0.75531914893617,0.990816326530612
33,1,0.62987012987013,0.987179487179487,0.846153846153846,0.991666666666667,0.784926470588235,0.988962472406181
34,1,0.589403973509934,0.987249544626594,0.855384615384615,0.976470588235294,0.771008403361345,0.982546201232033
35,1,0.607734806629834,0.978805394990366,0.837962962962963,0.987421383647799,0.769983686786297,0.982078853046595
36,1,0.588516746411483,0.977596741344195,0.895981087470449,0.975535168195719,0.794303797468354,0.976772616136919
37,1,0.649214659685864,0.978388998035363,0.864935064935065,0.989041095890411,0.793402777777778,0.982837528604119
38,1,0.580246913580247,0.975836431226766,0.937704918032787,0.970786516853933,0.813704496788009,0.973550356052899
39,1,0.631111111111111,0.972631578947368,0.929078014184397,0.951070336391437,0.825617283950617,0.963840399002494
40,1,0.556338028169014,0.991039426523297,0.864864864864865,0.994169096209913,0.785063752276867,0.992230854605993
