"Parameter","Value"
"B11_1",0.00939295534044504
"B11_2",-0.0577055253088474
"log_B12_delta_1",-0.477604269981384
"log_B12_delta_2",0.150106906890869
"B21d_1",0.328002214431763
"B21d_2",0.234900772571564
"B22d_1",0.176275625824928
"B22d_2",0.128899842500687
"B31_1",0.0540576055645943
"B31_2",0.386125683784485
"B32_1",0.663942098617554
"B32_2",1.12310492992401
"Lmd1f1",1.02693164348602
"Lmd1f2",0.699461996555328
"Lmd1f3",1.00571203231812
"Lmd1f4",1.32050061225891
"Lmd2f_1",0.709780097007751
"Lmd2f_2",2.69741415977478
"log_Qd_1",-1.59722757339478
"log_Qd_2",-1.45016133785248
"log_R1d_1",-1.31244790554047
"log_R1d_2",-0.847691535949707
"log_R1d_3",-0.498541265726089
"log_R1d_4",-1.29916536808014
"log_R1d_5",-1.36224043369293
"log_R1d_6",-0.934285938739777
"log_R2d_1",-1.02170276641846
"log_R2d_2",3.42513656616211
"log_R2d_3",0.539051234722137
"gamma1",4.02628421783447
"gamma2_1",1.72043418884277
"gamma2_2",-0.980032444000244
"gamma3",0.307603865861893
"gamma4_1",-2.20401430130005
"gamma4_2",-0.11331819742918
"logit_tP_SB",0.478596448898315
