Parameter,Value
B11_1,-0.0371269406750798
B11_2,-0.455690914392471
B11_3,-0.354922211170197
B11_4,-0.182633915543556
B11_5,-0.327871909737587
B11_6,-0.121364659070969
B11_7,-0.604018920660019
B12_1,0.339937026905075
B12_2,0.521346863093018
B12_3,0.367735535208303
B12_4,0.531174325953732
B12_5,0.729996476989058
B12_6,0.288667017490699
B12_7,0.382131456169035
B21d_1,0.319004344940186
B21d_2,0.214670747518539
B21d_3,0.175577530264854
B21d_4,0.180115801095963
B21d_5,0.153608283400536
B21d_6,0.461394768953323
B21d_7,0.166854128241539
B22d_1,0.469469064474106
B22d_2,0.219359427690506
B22d_3,0.406824731826782
B22d_4,0.278486883640289
B22d_5,0.268469175696373
B22d_6,0.345885968208313
B22d_7,0.419792264699936
B31_1,-0.00555410645902157
B31_2,0.143506217002869
B31_3,0.174364212155342
B31_4,0.146496774256229
B31_5,0.169814944267273
B31_6,-0.116615206003189
B31_7,0.121575032174587
B32_1,0.0814723610877991
B32_2,0.145528598129749
B32_3,0.154387974739075
B32_4,0.192931216955185
B32_5,0.136104783415794
B32_6,0.0242334847338498
B32_7,0.122693999111652
Lmd1f_1,0.997409379482269
Lmd1f_10,1.03361115455627
Lmd1f_2,0.764801645278931
Lmd1f_3,1.08503251075745
Lmd1f_4,1.4065288066864
Lmd1f_5,0.664656889438629
Lmd1f_6,1.04458696842194
Lmd1f_7,0.928528666496277
Lmd1f_8,0.801088309288025
Lmd1f_9,1.11854996681213
Lmd2f_1,-0.85086807012558
Lmd2f_2,0.157007132470608
Qd_1,0.212181880339497
Qd_2,0.215720062207443
Qd_3,0.126101117076229
Qd_4,0.245815224551366
Qd_5,0.21349526322607
Qd_6,0.453061510992997
Qd_7,0.584169911435957
R1d_1,0.288871232479648
R1d_10,0.300868714943106
R1d_11,0.253997014161683
R1d_12,0.340966029394777
R1d_13,0.525845280475648
R1d_14,0.782404027854576
R1d_15,0.553466036645025
R1d_16,0.256728928724871
R1d_17,0.537753292004317
R1d_2,0.419019417181252
R1d_3,0.5863246273147
R1d_4,0.277505416179685
R1d_5,0.232915730036963
R1d_6,0.437923548332447
R1d_7,0.340109022294293
R1d_8,0.184799054636177
R1d_9,0.377829966914174
R2d_1,1.43197531902937
R2d_2,0.672477980664922
R2d_3,1.02212350848903
gamma1,3.5
gamma2_1,0.0451481349766254
gamma2_2,-0.0224234035238624
gamma2_3,-0.12083635032177
gamma2_4,0.0519315412268043
gamma2_5,0.0691102841868997
gamma2_6,-0.190843462944031
gamma2_7,-0.0829044055193663
gamma3,-0.413459300994873
gamma4_1,0.0426069894805551
gamma4_2,0.0684428460896015
gamma4_3,0.19844179302454
gamma4_4,0.184115117788315
gamma4_5,0.11452855207026
gamma4_6,-0.203696550428867
gamma4_7,0.170353773236275
tP_SB,0.0834436916632416
log_B12_delta_1,-0.975340430648423
log_B12_delta_2,-0.0232299608644923
log_B12_delta_3,-0.324819548739079
log_B12_delta_4,-0.337140922045283
log_B12_delta_5,0.0562559275190379
log_B12_delta_6,-0.891520862361669
log_B12_delta_7,-0.0139464240112617
log_Qd_1,-1.55031144598869
log_Qd_2,-1.53377372014192
log_Qd_3,-2.07067117739682
log_Qd_4,-1.40317514499141
log_Qd_5,-1.54414063285433
log_Qd_6,-0.791727376860662
log_Qd_7,-0.537563394230325
log_R1d_1,-1.24177425251626
log_R1d_10,-1.20108127235972
log_R1d_11,-1.37043276730166
log_R1d_12,-1.07597242720425
log_R1d_13,-0.642748253095554
log_R1d_14,-0.245384012198891
log_R1d_15,-0.591554889791045
log_R1d_16,-1.3597345027726
log_R1d_17,-0.620355389041196
log_R1d_2,-0.869838018412379
log_R1d_3,-0.533881671263914
log_R1d_4,-1.28191482822149
log_R1d_5,-1.45707856449723
log_R1d_6,-0.825710931027018
log_R1d_7,-1.07848905896363
log_R1d_8,-1.68848623539274
log_R1d_9,-0.97331100754163
log_R2d_1,0.359054833075238
log_R2d_2,-0.396785910547883
log_R2d_3,0.0218823342733362
